377.31	22
377.57	4
377.83	15
378.09	2
378.36	23
378.62	27
378.88	-3
379.15	-9
379.41	-14
379.67	-9
379.94	13
380.2	3
380.46	6
380.73	-7
380.99	-12
381.25	13
381.51	-1
381.78	-11
382.04	-3
382.3	48
382.57	-4
382.83	12
383.09	-1
383.36	-2
383.62	-5
383.88	22
384.14	-6
384.41	18
384.67	-9
384.93	-2
385.2	24
385.46	2
385.72	19
385.98	13
386.25	2
386.51	8
386.77	31
387.04	22
387.3	8
387.56	3
387.82	18
388.09	24
388.35	9
388.61	13
388.88	-3
389.14	-7
389.4	6
389.66	4
389.93	22
390.19	10
390.45	9
390.71	-3
390.98	-10
391.24	14
391.5	-9
391.77	12
392.03	9
392.29	21
392.55	-4
392.82	-2
393.08	17
393.34	13
393.6	13
393.87	24
394.13	10
394.39	8
394.65	-8
394.92	25
395.18	16
395.44	-24
395.7	13
395.97	-4
396.23	15
396.49	16
396.75	10
397.02	6
397.28	2
397.54	-4
397.8	9
398.07	-7
398.33	-4
398.59	29
398.85	-4
399.12	29
399.38	-19
399.64	2
399.9	-11
400.17	15
400.43	21
400.69	-13
400.95	23
401.22	23
401.48	13
401.74	11
402	20
402.27	12
402.53	-16
402.79	-1
403.05	-4
403.32	-27
403.58	4
403.84	24
404.1	27
404.36	14
404.63	9
404.89	15
405.15	16
405.41	14
405.68	-1
405.94	7
406.2	24
406.46	16
406.73	10
406.99	-7
407.25	19
407.51	27
407.77	20
408.04	-3
408.3	10
408.56	3
408.82	-7
409.09	12
409.35	53
409.61	21
409.87	-7
410.13	22
410.4	23
410.66	15
410.92	41
411.18	28
411.44	5
411.71	-12
411.97	-19
412.23	11
412.49	0
412.75	0
413.02	-17
413.28	-12
413.54	26
413.8	-11
414.06	-6
414.33	21
414.59	38
414.85	14
415.11	26
415.37	13
415.64	27
415.9	-22
416.16	4
416.42	39
416.68	17
416.95	-17
417.21	-3
417.47	-8
417.73	17
417.99	7
418.26	-10
418.52	26
418.78	-15
419.04	28
419.3	32
419.57	16
419.83	-10
420.09	-7
420.35	-17
420.61	-6
420.87	13
421.14	2
421.4	18
421.66	11
421.92	-5
422.18	-1
422.45	4
422.71	-9
422.97	1
423.23	7
423.49	41
423.75	11
424.02	13
424.28	4
424.54	8
424.8	7
425.06	28
425.32	6
425.59	3
425.85	20
426.11	1
426.37	14
426.63	14
426.89	28
427.16	24
427.42	29
427.68	-5
427.94	-5
428.2	25
428.46	2
428.73	-5
428.99	-19
429.25	6
429.51	25
429.77	6
430.03	42
430.29	5
430.56	22
430.82	-1
431.08	14
431.34	-4
431.6	24
431.86	22
432.12	-26
432.39	2
432.65	21
432.91	-4
433.17	-4
433.43	21
433.69	2
433.95	0
434.22	16
434.48	5
434.74	-8
435	-3
435.26	29
435.52	-13
435.78	-2
436.05	13
436.31	8
436.57	-18
436.83	-5
437.09	3
437.35	12
437.61	-8
437.88	22
438.14	-13
438.4	-17
438.66	14
438.92	-7
439.18	19
439.44	34
439.7	15
439.97	-20
440.23	-28
440.49	23
440.75	-6
441.01	5
441.27	23
441.53	7
441.79	-3
442.05	16
442.32	-22
442.58	22
442.84	7
443.1	-19
443.36	-25
443.62	-13
443.88	-8
444.14	-3
444.4	-12
444.67	11
444.93	-26
445.19	5
445.45	-16
445.71	30
445.97	6
446.23	4
446.49	-9
446.75	7
447.02	-5
447.28	-2
447.54	8
447.8	21
448.06	-17
448.32	0
448.58	-4
448.84	19
449.1	-1
449.36	16
449.62	-12
449.89	28
450.15	10
450.41	0
450.67	-5
450.93	-9
451.19	19
451.45	3
451.71	2
451.97	-1
452.23	20
452.49	-5
452.76	16
453.02	15
453.28	2
453.54	14
453.8	31
454.06	-9
454.32	-12
454.58	-10
454.84	25
455.1	14
455.36	6
455.62	9
455.88	21
456.15	27
456.41	16
456.67	5
456.93	-8
457.19	-3
457.45	2
457.71	23
457.97	-16
458.23	3
458.49	18
458.75	18
459.01	-23
459.27	30
459.53	17
459.79	-8
460.06	9
460.32	-1
460.58	16
460.84	10
461.1	-3
461.36	22
461.62	-8
461.88	11
462.14	18
462.4	-5
462.66	15
462.92	22
463.18	-23
463.44	22
463.7	-12
463.96	4
464.22	-14
464.48	1
464.74	-2
465.01	8
465.27	5
465.53	2
465.79	-10
466.05	35
466.31	10
466.57	30
466.83	9
467.09	-3
467.35	23
467.61	-9
467.87	1
468.13	24
468.39	13
468.65	0
468.91	16
469.17	-2
469.43	22
469.69	-10
469.95	-1
470.21	3
470.47	-7
470.73	-32
470.99	-12
471.25	30
471.51	9
471.77	0
472.03	15
472.29	8
472.56	1
472.82	-4
473.08	-1
473.34	12
473.6	24
473.86	1
474.12	6
474.38	6
